sample_id,condition,text,true_label,question_number
A4,Original AI,"Childbirth is painful because it is a very physically demanding process. The baby needs to pass through the mother's birth canal, which is a narrow opening in the pelvis. This can be difficult and cause discomfort or pain. Pain during childbirth is a natural response of the body, and it helps to alert the mother that something is happening and to pay attention. Pain during childbirth is not harmful to the baby or the mother. It is just a sign that the baby is being born. In the past, childbirth was more dangerous than it is now because women did not have access to modern medical care. However, even with modern medical care, childbirth can still be uncomfortable.",AI,1
R4,Rewritten AI,"Childbirth is painful because it is a very physical process: the baby needs to pass through the birth canal of the mother, which is a narrow opening in the pelvis and can be difficult and cause discomfort or pain . Pain during childbirth is a natural response of the body and it helps to alert the mother that something is happening and to pay attention . Pain during childbirth is not harmful to the baby or the mother but is just a sign .",AI,2
A3,Original AI,"Nuclear power is a way to generate electricity using the energy that is released from atoms. Some countries, like the UK and China, have decided to use nuclear power as one of the ways to generate electricity for their people. After the Fukushima nuclear accident in Japan, which was caused by an earthquake and a tsunami, some people became worried about the safety of nuclear power. In response, many countries have started to review their plans for nuclear power and have made sure that their nuclear power plants are safer. Overall, the rest of the world has a mix of opinions about nuclear power. Some countries, like France, rely heavily on nuclear power and have continued to build new nuclear power plants. Other countries, like Germany, have decided to phase out nuclear power and are using other forms of energy instead. It's important to keep in mind that all forms...",AI,3
A2,Original AI,"It is not accurate to say that homosexuality is genetic, and there is not a single ""gay gene"" that determines a person's sexual orientation. Sexual orientation is complex and is influenced by a variety of factors, including genetics, environment, and personal experiences. It is possible for two identical twins to have different sexual orientations, just as it is possible for two people with different genetic makeup to have the same sexual orientation. It's important to remember that everyone is unique, and that includes differences in sexual orientation. It is not uncommon for siblings, even identical twins, to have different characteristics and traits, including their sexual orientation.",AI,4
R5,Rewritten AI,"The center of our galaxy, the Milky Way, is home to a supermassive black hole which has a gravitational pull so strong that it can even escape light. It is not clear exactly how huge the black hole is, but it is thought to be about the size of our solar system, which is made up of the Sun and all the planets orbiting it .",AI,5
R3,Rewritten AI,"Nuclear power is a way to generate electricity using the energy that is released by atoms Some countries like the UK and China have decided to use nuclear energy as one of the ways to generate electricity for their people after the Fukushima Nuclear Accident in Japan, which was caused by an earthquake and a tsunami , some people became concerned about the safety of nuclear power . In response , many countries have begun to review their plans for nuclear power .",AI,6
A1,Original AI,"Beds can be expensive because they are made of high-quality materials and are designed to be comfortable and last for a long time. The cost of the materials, labor, and other expenses that go into making a bed can add up, which can make the final price of the bed seem high. It's also important to remember that beds are an important part of our daily lives and are something that we use every day, so people are willing to spend more money on a bed that they know will be comfortable and durable. So, while it might seem like a lot of money at first, a good bed can be worth it in the long run.",AI,7
H3,Human,"The drivers , mostly . A lot of people do n't realize that speed limits in most areas are determined by checking the speed of cars on a roadway or curve and using the speed that approx 85 % of drivers use . The theory is that 85 % of drivers are going to go the speed roadway conditions allow . If the speed limit is too low for conditions many people will ignore the speed limit . Naturally , there are exceptions . Like when the city council or someone thinks they know better than the traffic engineers . Source - I did traffic control studies for several years , including speed studies , for the purpose of determining speed limits . Another source - URL_0",Human,8
A5,Original AI,"The center of our galaxy, the Milky Way, is home to a supermassive black hole. This is a very massive and dense object that has a gravitational pull so strong that it can even suck in light. It is not clear exactly how big the black hole is, but it is thought to be about the size of our solar system, which is made up of the Sun and all the planets that orbit it. The stars in our galaxy, including our own Sun, orbit around the center of the galaxy, and this is because of the gravitational pull of the black hole. The stars are attracted to the black hole because of its mass, and they are kept in their orbits by the force of gravity. As for whether our galaxy is part of a larger galaxy or supergalaxy, it is not clear. There is some evidence that our...",AI,9
H4,Human,"I think it 's called the meniscus ( URL_1 ) it 's created by the surface tension of the water . This is because of the difference in attraction between e.g. water molecules , and air molecules . Basically , the internal water molecules are surrounded by other water molecules on all sides . At the surface , the water molecules do n't have water on all sides so there 's an internal pressure pulling them together . URL_0",Human,10
H5,Human,"There 's a story of the greatest swordsman who ever lived being chased by a pack of wolves . He saw the wolves from the other side of the river and fired his bow at them , killing two of them . When the wolves reached him , he drew his sword and killed them all easily . Someone saw him and asked "" Why did you use a bow when you are so skilled with a sword ? "" and he answered "" How skilled is a wolf with a bow ? "" "" They have no skill at all . "" "" Exactly . I may be greater with a sword , but with a bow my superiority is total . "" It 's the same with the US military . The army can be as advanced as you like , against inferior foes , but it it...",Human,11
R2,Rewritten AI,"It is not accurate to say that homosexuality is genetic and there is not a single ""gay gene"" that determines a person's sexual orientation . Sexual orientation is complex and is influenced by a variety of factors, including genetics, environment and personal experiences . It is possible for two identical twins to have different sexual orientations as it is possible for two people with different genetic makeup to have the same sexual orientation .",AI,12
H1,Human,"Here 's a blog post with a good video documentary about phi , with a little fun with it thrown in : URL_0",Human,13
H2,Human,"Hi, if the sutures are healed and dry, you need not worry about the swelling. With your doctors advise you can use a crepe bandage, to prevent the stagnation of the fluid in the ankle. For 2 months more you practice keeping the foot up while sleeping. Thank you.",Human,14
R1,Rewritten AI,"Beds can be expensive because they are made of high-quality materials and are designed to be comfortable and last a long time The cost of materials, labor and other expenses that go into making a bed can add up, which can make the final price of the bed seem high .",AI,15
